,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Lincoln,AU,-34.7333,135.8667,60.78,59,2,20.74,clear sky
80,Mahebourg,MU,-20.4081,57.7,79.25,94,75,21.85,broken clouds
81,Plettenberg Bay,ZA,-34.0527,23.3716,82.38,67,48,7.96,scattered clouds
82,Port Pirie,AU,-33.1833,138.0167,66.29,49,1,19.04,clear sky
83,Wanaka,NZ,-44.7,169.15,60.28,89,100,5.61,moderate rain
84,Port Augusta,AU,-32.5,137.7667,66.34,55,63,24.9,broken clouds
85,Kavaratti,IN,10.5669,72.642,81.12,69,5,9.6,clear sky
86,Bud,US,39.447,-86.1758,34.9,77,100,9.86,overcast clouds
87,Mar Del Plata,AR,-38.0023,-57.5575,68.88,60,0,25.01,clear sky
88,Chokurdakh,RU,70.6333,147.9167,-15.02,96,100,1.43,overcast clouds
89,Isangel,VU,-19.55,169.2667,77.11,94,100,4.61,light rain
90,Olivenza,ES,38.6832,-7.103,61.32,39,0,5.97,clear sky
91,Pierre,US,44.3683,-100.351,16.86,63,6,1.01,clear sky
92,Zarkos,GR,39.6167,22.1333,40.37,93,100,1.63,overcast clouds
93,Stornoway,GB,58.2093,-6.3865,46.92,79,40,8.99,scattered clouds
94,Port Hedland,AU,-20.3167,118.5667,80.65,89,100,1.14,overcast clouds
95,Haines Junction,CA,60.7522,-137.5108,-38.25,67,89,1.14,overcast clouds
96,Codrington,AU,-38.2667,141.9667,57.67,57,100,15.66,overcast clouds
97,Fort Nelson,CA,58.8053,-122.7002,-18.81,76,40,4.61,scattered clouds
98,Beloomut,RU,54.9448,39.3394,30.74,89,100,9.98,overcast clouds
99,Dunedin,NZ,-45.8742,170.5036,61.12,94,100,11.39,moderate rain
100,Castro,BR,-24.7911,-50.0119,72.43,77,40,3.74,scattered clouds
101,Moose Factory,CA,51.2585,-80.6094,19.4,73,100,13.8,overcast clouds
102,New Norfolk,AU,-42.7826,147.0587,56.71,44,96,5.84,overcast clouds
103,Shingu,JP,33.7333,135.9833,44.91,72,25,12.88,scattered clouds
104,Camana,PE,-16.6228,-72.7111,71.29,80,100,6.78,overcast clouds
105,Abonnema,NG,4.7084,6.7931,95.47,17,99,1.21,overcast clouds
106,Dalhousie,IN,32.5333,75.9833,37.15,75,2,2.3,clear sky
107,Barrow,US,71.2906,-156.7887,-14.78,76,100,4.61,overcast clouds
108,Ahipara,NZ,-35.1667,173.1667,68.7,87,100,13.38,overcast clouds
109,Ucluelet,CA,48.9329,-125.5528,34.09,91,14,6.67,few clouds
110,Rakaia,NZ,-43.75,172.0167,66.29,50,100,7.45,overcast clouds
111,Ambon,ID,-3.6954,128.1814,80.74,78,40,4.61,scattered clouds
112,Preeceville,CA,51.95,-102.6677,-8.77,88,100,20.54,overcast clouds
113,Luderitz,NA,-26.6481,15.1594,71.1,75,67,12.01,broken clouds
114,Palang,BD,23.2167,90.35,73.44,76,13,8.39,few clouds
